"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Sep-2024","EQ","1,033.20","1,033.20","1,020.40","1,028.05","1,025.10","1,024.25","1,024.64","1,222.00","597.35","11,96,872","1,22,63,68,638.70","46,845"
"26-Sep-2024","EQ","1,024.00","1,048.90","1,010.50","1,019.00","1,028.00","1,028.05","1,032.31","1,222.00","597.35","26,53,652","2,73,93,79,348.35","99,226"
"25-Sep-2024","EQ","1,026.95","1,032.45","1,013.10","1,028.20","1,021.90","1,019.00","1,018.91","1,222.00","597.35","9,79,782","99,83,05,856.75","38,076"
"24-Sep-2024","EQ","1,032.85","1,043.45","1,025.25","1,032.85","1,027.45","1,028.20","1,034.06","1,222.00","597.35","9,22,727","95,41,51,527.95","45,474"
"23-Sep-2024","EQ","1,012.95","1,037.45","1,012.15","1,010.35","1,033.00","1,032.85","1,028.98","1,222.00","597.35","13,43,379","1,38,23,12,167.55","47,461"
"20-Sep-2024","EQ","1,008.00","1,024.45","1,002.50","1,000.55","1,014.00","1,010.35","1,010.98","1,222.00","597.35","15,47,836","1,56,48,33,323.10","48,434"
"19-Sep-2024","EQ","1,023.00","1,029.55","991.00","1,018.60","1,001.00","1,000.55","1,004.05","1,222.00","597.35","13,81,614","1,38,72,05,235.25","61,746"
"18-Sep-2024","EQ","1,021.00","1,034.45","1,016.00","1,021.20","1,018.15","1,018.60","1,024.77","1,222.00","597.35","7,08,747","72,63,00,892.40","31,687"
"17-Sep-2024","EQ","1,029.95","1,029.95","1,020.00","1,028.15","1,020.10","1,021.20","1,022.91","1,222.00","597.35","5,02,810","51,43,28,600.40","24,413"
"16-Sep-2024","EQ","1,039.00","1,041.65","1,026.05","1,034.15","1,029.00","1,028.15","1,030.81","1,222.00","597.35","9,27,727","95,63,05,970.05","33,940"
"13-Sep-2024","EQ","1,035.00","1,046.00","1,028.70","1,031.60","1,034.00","1,034.15","1,038.35","1,222.00","597.35","8,70,819","90,42,13,874.15","30,055"
"12-Sep-2024","EQ","1,019.90","1,034.90","1,018.95","1,013.70","1,033.50","1,031.60","1,027.98","1,222.00","597.35","8,36,623","86,00,31,193.90","30,482"
"11-Sep-2024","EQ","1,033.00","1,036.85","1,004.85","1,032.15","1,013.00","1,013.70","1,021.90","1,222.00","597.35","9,73,759","99,50,80,100.70","36,068"
"10-Sep-2024","EQ","1,034.00","1,045.00","1,030.00","1,029.30","1,034.00","1,032.15","1,036.54","1,222.00","597.35","7,49,982","77,73,89,274.80","28,793"
"09-Sep-2024","EQ","1,038.90","1,044.90","1,020.00","1,038.90","1,035.25","1,029.30","1,027.15","1,222.00","597.35","14,33,956","1,47,28,91,444.25","53,375"
"06-Sep-2024","EQ","1,065.00","1,072.00","1,035.00","1,069.30","1,040.00","1,038.90","1,048.12","1,222.00","597.35","13,70,284","1,43,62,17,260.20","51,700"
"05-Sep-2024","EQ","1,064.00","1,079.95","1,058.30","1,064.75","1,068.00","1,069.30","1,069.61","1,222.00","597.35","10,19,982","1,09,09,84,442.00","36,892"
"04-Sep-2024","EQ","1,055.10","1,069.90","1,050.60","1,062.30","1,064.00","1,064.75","1,059.04","1,222.00","597.35","9,78,470","1,03,62,35,317.75","31,409"
"03-Sep-2024","EQ","1,064.00","1,068.80","1,054.45","1,058.60","1,062.15","1,062.30","1,061.13","1,222.00","597.35","8,57,613","91,00,39,406.95","36,071"
"02-Sep-2024","EQ","1,065.50","1,070.25","1,055.75","1,064.25","1,058.75","1,058.60","1,062.43","1,222.00","597.35","8,57,165","91,06,80,366.60","33,928"
